name,sport,country,home_city,home_lat,home_lon,team_club,specialty,nike_category
"LeBron James",Basketball,USA,"Los Angeles",34.0522,-118.2437,"LA Lakers",Forward,Basketball
"Cristiano Ronaldo",Soccer,Portugal,Funchal,32.6669,-16.9241,Al-Nassr,Forward,Soccer
